# id x y width height blocksMovement blocksProjectiles
# Dedicated boss arena boundary layer for void/rim/platform collision.
outer_top_rim 0 0 1440 96 true true
outer_bottom_rim 0 1360 1440 80 true true
outer_left_rim 0 0 88 1440 true true
outer_right_rim 1352 0 88 1440 true true

upper_left_platform_void 88 96 330 145 true true
upper_right_platform_void 1022 96 330 145 true true

left_mid_abyss_edge 88 420 90 420 true true
right_mid_abyss_edge 1262 420 90 420 true true

lower_left_void_shelf 88 1160 240 130 true true
lower_right_void_shelf 1112 1160 240 130 true true
